model,precision,mean_refusal_margin,std_refusal_margin
TheBloke/Mistral-7B-Instruct-v0.2-AWQ,int4,0.0,0.0
google/gemma-2b-it,fp16,-0.9721895171017834,2.223197314818011
google/gemma-2b-it,int4,-0.8883327643076578,2.494759466688756
google/gemma-2b-it,int8,-1.299970229466756,2.587705156835077
mistralai/Mistral-7B-Instruct-v0.2,fp16,1.1597105662027996,0.36462259153630383
mistralai/Mistral-7B-Instruct-v0.2,int4,0.07846335707039667,1.0655078820030641
mistralai/Mistral-7B-Instruct-v0.2,int8,1.139971097310384,0.42114088890479473
