model,precision,temperature,n_seeds,mean_refusal_margin_mean,mean_refusal_margin_std,mean_refusal_margin_ci95_low,mean_refusal_margin_ci95_high
TheBloke/Mistral-7B-Instruct-v0.2-AWQ,int4,0.7,4,0.0,0.0,0.0,0.0
google/gemma-2b-it,fp16,0.7,5,-1.1901918554956263,0.12520888616143985,-1.2461869716644287,-1.0782016231580214
google/gemma-2b-it,int4,0.7,5,-0.8883327643076578,0.0,-0.8883327643076578,-0.8883327643076578
google/gemma-2b-it,int8,0.7,5,-1.299970229466756,0.0,-1.299970229466756,-1.299970229466756
mistralai/Mistral-7B-Instruct-v0.2,fp16,0.7,5,1.1597105662027996,0.0,1.1597105662027996,1.1597105662027996
mistralai/Mistral-7B-Instruct-v0.2,int4,0.7,5,0.7543560867309569,0.45655125605779306,0.3460042292277018,0.9585320154825846
mistralai/Mistral-7B-Instruct-v0.2,int8,0.7,5,1.139971097310384,0.0,1.139971097310384,1.139971097310384
