model,precision,refusal_rate,total_prompts,refusal_rate_se
TheBloke/Mistral-7B-Instruct-v0.2-AWQ,int4,0.009259259259259259,108,0.009216292627144504
google/gemma-2b-it,fp16,0.0693950177935943,562,0.010719602333927613
google/gemma-2b-it,int4,0.13333333333333333,15,0.08777074514725111
google/gemma-2b-it,int8,0.06666666666666667,15,0.06440611887195306
mistralai/Mistral-7B-Instruct-v0.2,fp16,0.0,15,0.0
mistralai/Mistral-7B-Instruct-v0.2,int4,0.034482758620689655,87,0.019562366514868118
mistralai/Mistral-7B-Instruct-v0.2,int8,0.0,15,0.0
